,ID,Branch,Interview Date,Transaction Date,Comment Type,Comment,Follow-up,Satisfaction Rating
31,4163286,354,1/8/2015,1/7/2015,Compliment,"Because everyone is very nice there and very helpful. I had to set up a bank account, and they sat me down right away, and told me all the benefits and kinds of accounts I could have there. They were very helpful with that. Just the overall atmosphere of the bank.",,10
32,4460889,161,5/8/2015,5/7/2015,Compliment,"Because everything is always professional. They answer my questions. I never have to wait in line; if I do, it's not for very long. It's right around the corner from my work, and it has easy access.",,9
33,4601658,401,7/1/2015,6/30/2015,Compliment,"Because everything I've ever needed they've been very helpful and been able to help me with anything I've ever needed. Always friendly, know who I am, and I just like it there.",,10
34,4124380,107,12/17/2014,12/16/2014,Compliment,Because everything was excellent. Convenience.,,8
35,3353414,115,4/15/2014,4/14/2014,Compliment,"Because I always get prompt service. The tellers all know me by name, and they greet me when I come through the door.",,10
36,4888460,353,10/21/2015,10/20/2015,Compliment,Because I am dealing with another bank that I am not happy with. MY BANK is much nicer and the employees are wonderful. I have been banking with MY BANK for a long time now.,,10
37,5040899,318,12/16/2015,12/15/2015,Compliment,Because I am satisfied with them.,,9
38,4807762,310,9/29/2015,9/24/2015,Compliment,"Because I as shared, I currently work with two other banks, and the customer service and follow up was not good at all. I have been at MY BANK for about three years. They are outstanding. I like the customer service and the feed back. I like the fees and the use of online banking, the way its set up. I appreciate the way I'm treated in the bank. They are eager to help with no hesitations, and I like that.",,8
39,3953052,350,10/7/2014,10/6/2014,Compliment,"Because I do. They're courteous, they're awesome. I've never ever had a banking experience like MY BANK. I've been to lots of banks, and always had problems with other banks. I've been with MY BANK for several years, and I've had nothing but happiness with them. They take care of my needs, and always take care of any problems I come across.",,9
40,4932756,350,11/4/2015,11/3/2015,Compliment,Because I get undivided attention. I think everything in general.,,10
41,3829005,352,8/21/2014,8/20/2014,Compliment,"Because I go in there and it's like Cheers, it feels like going home. Even when they change, the new tellers are very nice as well.  I just really like it. Maybe it's because they know my name, it's just great.",,9
42,4211248,356,1/27/2015,1/26/2015,Compliment,"Because I had a bad experience with another bank, and I moved to MY BANK. I have not had any bad experiences with this bank. Employees care for the customer; they do everything for the customers.",,9
43,3616759,107,6/10/2014,6/9/2014,Compliment,"Because I have always gotten exactly what I needed. They are helpful, as I have had several loans with them. I now have online banking with them. The people there know who I am, and I know them. I have not had any issues with them.",,9
44,4826332,320,10/1/2015,9/30/2015,Compliment,"Because I have had a bad experience at another bank, and this one is the best banks that I have ever had. They are really nice. They always take care of everything I need to run my business. For any questions I have, they always help me, and with anything I need. They always help me with everything. I really don't know what to say, but they've always been really nice to me there.",,9
45,4461317,350,5/8/2015,5/7/2015,Compliment,"Because I have never had a problem ever. They've always been helpful and good to me. For some reason, they always know my name. It's like they all know me. It's easy to get to, and there's no waiting. I can't remember the last time I had to wait. They're always friendly and well-mannered. It's just excellent. If I win the lottery tomorrow, I'll put it in there.",,8
46,3893332,352,9/17/2014,9/16/2014,Compliment,Because I have no reason not to. I've never had any negative of any kind. They're personal.,,8
47,4801495,359,9/24/2015,9/23/2015,Compliment,Because I haven't had any problems.,,9
48,4807352,352,9/26/2015,9/24/2015,Compliment,"Because I haven't had one problem since I've gone there. If there is a problem, they help me. The people know me and are nice and welcoming. I feel like they are the best.",,9
49,4068512,354,11/25/2014,11/24/2014,Compliment,"Because I know all the service, the people that work there. We're friends. We've been with them since we came to town. We even got our home loan with them. That's just where we bank. Because they feel like family. The greeter, they always know my name. They call to see if there is anything I need. If I call to transfer funds or anything, I think it's just that we know each other. I used to work in a bank. And I just think it's vital to have connection with your customers.",,8
50,4228384,350,2/4/2015,2/3/2015,Compliment,"Because I like the tellers. They are so friendly, and make you feel so welcome. They make you feel like a mother, or a grandmother. They are all young people working there. They are interested in me as a person. They want to know how I am doing, how I am feeling, and all of that. They are very, very personable.",,8
51,5000915,354,11/24/2015,11/23/2015,Compliment,Because I like them a lot. They call me by name. I never have to wait.,,10
52,4307282,320,3/6/2015,3/5/2015,Compliment,Because I love the people. Because they are wonderful. They know their business.,,9
53,4786296,311,9/17/2015,9/15/2015,Compliment,"Because I love their attention to detail. I just opened an account, and I was clueless about the online banking. They are nothing but helpful at every branch that I have called. I love the promptness. It's a joy to go in there. They are always smiling. They just make you feel welcome.",,8
54,4031986,310,11/12/2014,11/10/2014,Compliment,"Because I never had any problems when I went there, and everybody knows me. They have respect, and they always call you by name.",,10
55,3911682,160,9/24/2014,9/23/2014,Compliment,"Because I never had any trouble with them. They're all nice, they're very helpful, and they're kind.",,10
56,4185515,313,1/15/2015,1/14/2015,Compliment,Because I never have any problems when I go there. I just never have any problems.,,8
57,3513715,311,5/19/2014,5/16/2014,Compliment,"Because I never have any problems with them, and they take care of any problems I have. They've been very good about taking care of our problems long distance. I like their online banking website.",,10
58,4410917,310,4/17/2015,4/16/2015,Compliment,"Because I really like and enjoy MY BANK. I bought my house through MY BANK. They've answered all of my questions, and they've been there for me. When I walk into the building downtown, they acknowledge me. They know who I am. I also like doing business with them.",,10
59,4751391,357,9/1/2015,8/31/2015,Compliment,"Because I was treated like a human being, not like a number. They were very interested on what we had to say, and they had great recommendations on what we should do with our money. It's not too far from where we live. There's always someone available when we need to make a deposit, or talk to somebody.",,8
60,4972386,160,11/16/2015,11/13/2015,Compliment,"Because I was with Huntington, and I switched to MY BANK. My friend was the one that took me there. Polite, kids room to watch TV, snacks, coffee machine, and very courteous.",,8
61,4110504,351,12/11/2014,12/10/2014,Compliment,"Because if I have a question, they always answer me, and sometimes they go out of the way to help me. Like a couple of years ago, I went overseas, and they were very helpful. Whenever I ask something, they always satisfy me.",,8
62,4465116,401,5/11/2015,5/8/2015,Compliment,"Because if I use the drive-up, they know who I am. They are timely when I am in line. I am always satisfied. When MY BANK first took over, I had been with OTHER BANK for years. I like it better than OTHER BANK. They are always helpful and friendly. I am very satisfied there.",,9
63,4621984,350,7/9/2015,7/8/2015,Compliment,"Because it's a good bank to work with, you know? They have candy for me.",,9
64,4660984,401,7/24/2015,7/23/2015,Compliment,Because it's absolutely the best. It speaks for itself.,,9
65,4546667,310,6/15/2015,6/12/2015,Compliment,"Because it's my bank. Everyone up front is really good. If there is a problem, they are right on it. They look out for my well-being. I like it. All of the buildings look nice. The atmosphere is nice. They're prompt. You get in and get out.",,10
66,4272992,160,2/23/2015,2/20/2015,Compliment,"Because it's still locally owned. I've been with them for many years, and they always have good service. They're consistent.",,8
67,4898232,322,10/27/2015,10/25/2015,Compliment,Because it's the best.,,10
68,4986182,401,11/19/2015,11/18/2015,Compliment,Because it's the only place I go to. Everybody at the bank knows everyone on a first name basis. Just everything all around.,,8
69,3911468,311,9/24/2014,9/23/2014,Compliment,"Because it's very convenient for me, it's close by. No matter which teller I get they make me feel welcome.",,9
70,4605290,160,7/2/2015,7/1/2015,Compliment,"Because I've always felt comfortable and they've always done everything for me. I have no problems with the bank at all. I just really feel comfortable. They are friendly, almost family atmosphere.",,8
71,4481732,320,5/15/2015,5/14/2015,Compliment,"Because I've always had good service there. The people are very nice. They are good, and they do the job correctly. I just told you.",,10
72,4578887,352,6/25/2015,6/23/2015,Compliment,"Because I've been with them a long time, I've made loans with them, and I've never had any problems, ever. They're very friendly. They seem very friendly. They genuinely seem happy to see you when you walk in. If they're not sincere, they put on a good act.",,8
73,5002484,355,11/24/2015,11/23/2015,Compliment,"Because I've been with them since I was 14, and they've always been great with me, one-on-one at the tellers and desk, and you do great work with customers. I think it's just me being a loyal customer because that's the only thing I've ever known.",,8
74,5016263,322,12/3/2015,12/2/2015,Compliment,"Because I've had absolutely zero issues or concerns about their honesty or sincerity in the way they conduct their business. I trust them. Every time I come in, they are friendly. They are smiling. They greet me. They take care of my banking, thank me, and do everything they can do for me.",,10
75,3603246,401,6/6/2014,6/5/2014,Compliment,"Because I've had bad experiences with the others and they just don't seem to care. Here they seem to recognize me and know who I am. One of the tellers knows I'm legally blind, so when I walk in there she knows what I need, what I want, and she goes to it right away. She knows what accounts I have, and she asks me which one I want.",,8
76,4621106,350,7/9/2015,7/8/2015,Compliment,"Because I've had nothing but good experiences with them. The people are friendly. They're knowledgeable, very helpful, and very polite.",,9
77,4351725,161,3/26/2015,3/25/2015,Compliment,"Because I've had previous bad experiences with another bank, and that was several years ago. A friend recommended them and I have a home equity and checking. I just like the service. They've always treated me well. My mother banks there, she's a little elderly lady, and they've always been helpful to her, and that means a lot to me.",,8
78,4726800,318,8/26/2015,8/24/2015,Compliment,"Because I've had some problems with other banks, I've been with MY BANK for many years. I really don't know how to answer that.",,9
79,4251923,312,2/11/2015,2/10/2015,Compliment,"Because I've had such good service. People are nice, and I have no complaints. They answer the questions when I call in, and give me my balance when I call in.",,8
80,4988702,310,11/20/2015,11/19/2015,Compliment,"Because I've never had a problem with them or anything. I think I was with Wells Fargo. They did some shady [omitted], like not cashing my check until whenever, so I had overdrafts with them. I've never had that problem with MY BANK. Every time you go in there, there is somebody to help you right off. There never seems to be a line. It doesn't eat up a lot of your lunch hour. I don't know. I went through a divorce, and I needed a lot of paperwork, because I just paid my ex-wife directly. I took money out of my account and put it directly into her account. The State said I didn't pay her. MY BANK gave me all of the paperwork to prove that I was paying her. That saved me a lot, in respect to the court battle and all that [omitted]. I nipped that in the bud.",,8
81,4727337,160,8/28/2015,8/24/2015,Compliment,"Because I've never had a problem with them. If I do, like with my account, I can call or go in there, I have no issues. Like I said, we went through Fifth Third and it was awful.",,8
82,4643702,320,7/20/2015,7/17/2015,Compliment,Because I've never had a problem with them. They are friendly and courteous.,,8
83,4975567,401,11/17/2015,11/16/2015,Compliment,Because I've never had a problem with them. They've always been very courteous and very helpful. I've always been satisfied. They are a great bank.,,10
84,4572015,353,6/25/2015,6/22/2015,Compliment,Because I've never had a question or problem they couldn't handle. The way they treat people. It feel's friendly.,,10
85,4609496,351,7/6/2015,7/3/2015,Compliment,Because I've never had any problems with them. Everything is fine.,,9
86,3438763,350,5/2/2014,5/1/2014,Compliment,"Because I've never had problems with them. I've been there for years. It is located right down the street at a very convenient place, and Martin's is a good grocery store. It's a double-bang for me. It just fits all my needs.",,8
87,4150384,318,1/5/2015,1/2/2015,Compliment,"Because my wife and I had had some financial difficulties a few years ago, and they made us feel human. They worked with us to help us get back on our feet. The branch manager and the person downtown, who did the loan, did not look down at us. They went out of their way to help us secure that small loan. It's not so much MY BANK, as it is the people at the branch that I go to. I've been going to that branch for 25 years, before it was acquired by MY BANK, and they know you by name. When you go in there, they are never too busy to talk to you.",,8
88,4110571,320,12/11/2014,12/10/2014,Compliment,"Because of all my answers. It's treated me real well. Location is good, and their hours are excellent.",,8
89,4620854,115,7/8/2015,7/7/2015,Compliment,"Because of all the questions you asked me previously. I could easily go to another bank, but I won't. I like the people, and it's convenient.",,10
90,3976001,322,10/22/2014,10/21/2014,Compliment,"Because of everything: customer service and friendliness, and I have never had any problem with them.",,10
91,4636381,322,7/15/2015,7/14/2015,Compliment,Because of my parents probably. We never have any problems.,,8
92,3744398,353,7/21/2014,7/18/2014,Compliment,"Because of the convenience of the accounts as a college student. They insure I have the right kind of checking account. Knowing there are not many ATM's on campus, they allow me to waive three fees for the ATM's. When I went in I a had a different type account, but they switched me because of that.",,10
93,4687793,350,8/5/2015,8/4/2015,Compliment,"Because of the convenience they are open till 7:00 at night and on Sunday from 12:00 to 3:00 and Franklin and Bristol Street are nice, too.",,8
94,3499338,318,5/14/2014,5/13/2014,Compliment,"Because of the customer service and the satisfaction I get when I go in there. It doesn't seem like a very big organization, so when you make a call, you just talk to one person and get what you need to know.",,10
95,4773719,353,9/10/2015,9/9/2015,Compliment,"Because of the customer service. In today's world, it's a dying art. I've been in business for a while, and they give old-school customer service. It's all about the customer. They treat you like a person. They are fast. If you have a problem, they get to the bottom of the problem. I just like the way they work.",,10
96,4116705,311,12/16/2014,12/15/2014,Compliment,"Because of the dealings I have had with the top person at that location. I have had two others before. They know the answers, and how to get into the computers to get the information I need. They waste no time, and are accurate. I am old, and they are patient. If I don't understand something, I want to see it in black and white.",,9
97,4457709,320,5/7/2015,5/6/2015,Compliment,"Because of the people there, they are so friendly. I have taken my account from another Bank and started a new account with this bank. They provide a personal experience every time.",,8
98,4102712,115,12/10/2014,12/9/2014,Compliment,"Because of the people. They seem to know their business well, and are extremely helpful. I enjoy going into the bank. I have lived here four years, and have done business with other banks in different states. I find this bank on the top to do business with.",,9
99,4523694,311,6/3/2015,6/2/2015,Compliment,"Because of the personnel, and the cleanliness and appearance of the building. The personnel are very professional. They know what they're doing. They're very courteous and polite. The people that work there, and the appearance of the bank. The overall attitude the personnel has towards the customers.",,8
100,4494019,350,5/22/2015,5/21/2015,Compliment,"Because of the quick service. They are very friendly and helpful. We use them for our business, so we like them very much. I used to work there.",,9
101,3874252,107,9/10/2014,9/9/2014,Compliment,Because of the service I get. I have been there since the 70's. Sue helped and she is very good at her job.,,9
102,3793165,353,8/8/2014,8/7/2014,Compliment,"Because of the service, and because I cannot compare to other banks, so I am satisfied. I use the service no problem. I don't know why else I would rate the bank absolutely the best.",,8
103,3892062,350,9/17/2014,9/16/2014,Compliment,"Because of the service, even when I lived in Michigan. They try to work through everything with me, and I can't say I've been anywhere better except my daughters bank.",,10
104,5047209,320,12/21/2015,12/16/2015,Compliment,"Because of the service. I've never had one problem with the bank whatsoever. They give very good service, and they are quick about it.",,9
105,4447144,320,5/4/2015,5/1/2015,Compliment,Because of the staff; they make you feel like you are welcome. Quick service; you don't have to wait.,,9
106,4390867,322,4/9/2015,4/8/2015,Compliment,Because of the way I'm treated there. Courteous. They've never caused me any grief.,,8
107,4965202,351,11/13/2015,11/12/2015,Compliment,"Because of their courteous, kind, and prompt service they give me when I walk in there. Anytime I've ever had a question or a problem, they have been able to answer my question 100%. I know their answer is always right. That's the most I can tell you right now.",,8
108,3901085,318,9/22/2014,9/19/2014,Compliment,"Because of their excellent customer service, very convenient, and clean. I am a loyal customer. They are very accurate, they went well beyond the call of duty.",,9
109,4558596,160,6/18/2015,6/17/2015,Compliment,"Because of their friendliness, and the recognition. It's always clean and neat. When we need money, we don't have to wait for several days. They advise you on what to do. They greet you by name when you enter the bank.",,9
110,4373828,356,4/6/2015,4/2/2015,Compliment,"Because of their personal relationship with me. They remember who I am, how many kids I have in the car and being very personalized with their customers. I like that they keep customer information proprietary and I appreciate the security they provide for us.",,9
111,5018406,351,12/7/2015,12/3/2015,Compliment,"Because of their service, their kindness, and it is convenient for me. They don't charge you for every little thing. The bank I was with, even if you breathed, they would charge you. They charged me for things that they shouldn't have, I had to fuss with them, and I thought, ""Okay, I've had enough of this."" Years ago, my husband and I lived here, and we moved away. He was in construction, and we banked with them when it used to be First Bank, and now it's MY BANK. We banked with them a long time until we moved away. When I came back, because he passed away, I don't know why I stayed as long as I did with this other bank. One day I had just had it. They give very good service, and like I said, it is convenient for me, too. They don't have a lot of charges that this other bank had.",,8
112,3730259,350,7/16/2014,7/15/2014,Compliment,"Because of their service, they get right to it, you know they don't mess around. They're ready for you when you get there. Their manner, they're always happy, positive, good to you. Being prompt, greeting.",,9
113,4710206,160,8/13/2015,8/12/2015,Compliment,"Because of what you said prior to this. They are efficient. They call me by name. They are familiar with what I need and want. The only complaint I have is that they need a drive-thru. Because I've been with them for so many years, even before they were MY BANK.",,8
114,5046507,350,12/28/2015,12/16/2015,Compliment,Because that is the only place at which I bank.,,10
115,4271775,310,2/21/2015,2/19/2015,Compliment,"Because that's what it is. I've never had a problem with them. To me, they are the best.",,9
116,4198604,161,1/21/2015,1/20/2015,Compliment,"Because that's what they are, fabulous.",,10
117,4726418,350,8/27/2015,8/24/2015,Compliment,"Because that's where I feel the most comfortable with my banking. Because they know my name, and they pretty much know what I need when I get there.",,9
118,4727125,350,8/27/2015,8/24/2015,Compliment,Because the employees are very friendly and knowledgeable. The trainees are exceptional. I'm very happy with them. I feel very welcome and special when they call me by my first name. Excellent customer service.,,8
119,4913469,356,10/28/2015,10/27/2015,Compliment,"Because the level of customer service, they know who we are. I actually have another account at another bank, and they joke around that they want the last account. I'm impressed that they remember that. I actually have my kids with MY BANK. They go above and beyond for my business. The atmosphere, the way the step-up is open. I feel like a person, not just a number. I'm actually impressed that they do their own customer surveys.",,9
120,4260293,318,2/16/2015,2/13/2015,Compliment,"Because the people who work there are very open. I moved to this bank because I'm happy with the service. They inform me when they have specials, and if I want to add more to my assets, I do. The manager there; I hope he stays there forever. I just admire him. As I told you, the service is good, and they have options if I need anything. They inform me when they have special rates. They keep me informed, and that is what I need. That bank always informs me.",,10
121,3782690,353,8/5/2014,8/4/2014,Compliment,Because the service that Brett McHoffer and Bonnie Hobbs provide.,,9
122,4459578,354,5/7/2015,5/6/2015,Compliment,Because the services that they provide are everything that they can do. They are a bank and I am happy with it.,,8
123,4050553,320,11/19/2014,11/18/2014,Compliment,"Because the way they treat you, they greet you. You don't have to have a big bank account, they're just nice to everybody. I just, like, I went in the other day. I haven't been in the new bank. They treat me like when I visited Walmart. Some banks don't recognize their customers. My son is going to open a bank account. They gave him good answers. What else can I say about them? Overall, they're just a good bank to go to. I've had a lot of banks over my 67 years, and MY BANK is the first I can say I like.",,10
124,4566202,353,6/22/2015,6/19/2015,Compliment,"Because their customer service skills are the best. I have banked at other banks before. They don't give me the customer service that MY BANK gives me. The second I walk into the branch, they greet me. There is no waiting. I get in there, I get what I need, and I'm out in five minutes max.",,8
125,4799670,318,9/23/2015,9/22/2015,Compliment,"Because their tellers are very helpful and courteous. It seems like I get a young lady named Carrie. She's very sincere and courteous. The girls over there are so nice and treat me so well. I would never switch from MY BANK because of the customer service at Waynedale. It's a little out of my way, but I still wouldn't switch banks because of those girls. They really deserve a pat on the back or an award. I've been banking with them for a long time, and I've never had a problem there. Carrie treats me with some personal caring and consideration; they all are just caring. I'm not wealthy, but I think they would treat me the same as someone who is. They take my banking seriously. I wouldn't be surprised if I didn't get all excellent throughout the surveys.",,8
126,4426271,313,4/23/2015,4/22/2015,Compliment,"Because they always know you by name and always able to get what you need done in a timely fashion. If one of the other tellers is new, there is another more experienced teller willing to help, so you can get out of there in good time.",,10
127,4165095,401,1/9/2015,1/8/2015,Compliment,Because they are a lot better. The way stuff is handled and treated is a lot better. It is a lot more professional.,,9
128,4899633,320,10/28/2015,10/25/2015,Compliment,"Because they are always courteous to everyone. I grew up in Kentucky and Indiana, so I expect to be treated nicely. You can ask them anything about the bank, and if they don't know the answer, they will get someone who can answer. They greet you by name when you walk in, and if you are waiting, someone will come from the back counter to help you. They make you feel like they want you at the bank, and they treat you with absolute respect. They call you by name, they will help you, and they are just very polite. If they see you in the store, they wave. They are always so nice. I know they have to deal with some very difficult people. One of them, a sibling of mine, yells at them, but they are so nice and kind to her. I want to take her outside and whoop her for that. She is very disrespectful, yet they treat her like a little princess. If you can treat someone who is as horrible as she is, you are good!",,10
129,4460849,115,5/7/2015,5/6/2015,Compliment,"Because they are always prompt and getting back to me. Always helping me, and I was working with Erica, she was so very helpful and took the extra time to make sure that I understood the issue that I asked her about.",,10
130,3344632,401,4/14/2014,4/11/2014,Compliment,Because they are always very nice and willing to help you when you go in. They always answer your questions with no doubt at all.,,8
131,4610608,351,7/6/2015,7/2/2015,Compliment,"Because they are always very polite and personal. Ask a question and they always answer even if it's a personal question. Never had any problem, very polite.",,10
132,4972423,311,11/16/2015,11/13/2015,Compliment,Because they are courteous and helpful. They help me any way they can. Their behavior is wonderful whether I go in or go through the drive-thru.,,8
133,4934306,313,11/4/2015,11/3/2015,Compliment,Because they are friendly and fast.,,9
134,4046022,312,11/18/2014,11/17/2014,Compliment,Because they are friendly and nice.,,10
135,4307741,310,3/6/2015,3/5/2015,Compliment,"Because they are friendly. They've been very quick, and I don't have to wait. They are very accurate. The people are always kind.",,10
136,3503186,401,5/15/2014,5/14/2014,Compliment,"Because they are kind. Because I'm old, and they acknowledge me. They know my dog's name. This branch is my favorite, but they're all good. I have a cane, and they suggested that I use an easier way to come in. They suggested that to me. I didn't know it was there.  When I had my surgery, I was not able to go to the bank. I made arrangements to have all the business taken care of. They went out of their way to help me.",,9
137,4767136,115,9/8/2015,9/4/2015,Compliment,Because they are open on Sundays. The people are very friendly. I feel welcome there. The convenience factor.,,8
138,4791580,160,9/19/2015,9/17/2015,Compliment,Because they are so on top of stuff and very organized.,,8
139,4012532,352,11/5/2014,11/4/2014,Compliment,Because they are very friendly. They also are welcome to help you out if you have a question about something.,,8
140,4656344,353,7/23/2015,7/22/2015,Compliment,"Because they are very helpful. They sorted out the situation for me. Also, they are friendly.",,8
141,4328635,355,3/16/2015,3/13/2015,Compliment,Because they are.,,8
142,4635915,356,7/13/2015,7/12/2015,Compliment,Because they are. All of my answers indicate why.,,8
143,5063085,354,12/29/2015,12/21/2015,Compliment,Because they are. Because of the service we receive.,,9
144,4170638,354,1/12/2015,1/9/2015,Compliment,"Because they are. Because they are the best. The way they handle our account, and the way we're treated when we're in there.",,10
145,4765642,313,9/8/2015,9/4/2015,Compliment,Because they are. I have dealt with them for a long time. They held the door open for me when I left.,,10
146,4228234,320,2/4/2015,2/3/2015,Compliment,"Because they are. I think they are, anyways.",,8
147,4266598,160,2/19/2015,2/18/2015,Compliment,"Because they are. The service is good, the people are friendly, and it's nice on the inside. Their service is very good. They say your name, they're prompt about things, and they are overly friendly.",,9
148,4420050,354,4/21/2015,4/20/2015,Compliment,"Because they come to me when I walk in the door. They help me see the screen, and what they type in on the screen. Everything is very organized when I walk in. Everyone is dressed appropriately.",,9
149,4740530,353,8/28/2015,8/27/2015,Compliment,"Because they give me the proper attention, they are respectful, always a good morning and ""How are you today?"" Very friendly. They have my best interest at heart. I never have a bad feeling going in or even when I leave.",,9
