id,text
32,Because everyone is very nice there and very helpful I had to set up a bank account and they sat me down right away and told me all the benefits and kinds of accounts I could have there They were very helpful with that Just the overall atmosphere of the bank
33,Because everything is always professional They answer my questions I never have to wait in line; if I do it's not for very long It's right around the corner from my work and it has easy access
34,Because everything I've ever needed they've been very helpful and been able to help me with anything I've ever needed Always friendly know who I am and I just like it there
35,Because everything was excellent Convenience
36,Because I always get prompt service The tellers all know me by name and they greet me when I come through the door
37,Because I am dealing with another bank that I am not happy with MY BANK is much nicer and the employees are wonderful I have been banking with MY BANK for a long time now
38,Because I am satisfied with them
39,Because I as shared I currently work with two other banks and the customer service and follow up was not good at all I have been at MY BANK for about three years They are outstanding I like the customer service and the feed back I like the fees and the use of online banking the way its set up I appreciate the way I'm treated in the bank They are eager to help with no hesitations and I like that
40,Because I do They're courteous they're awesome I've never ever had a banking experience like MY BANK I've been to lots of banks and always had problems with other banks I've been with MY BANK for several years and I've had nothing but happiness with them They take care of my needs and always take care of any problems I come across
41,Because I get undivided attention I think everything in general
42,Because I go in there and it's like Cheers it feels like going home Even when they change the new tellers are very nice as well  I just really like it Maybe it's because they know my name it's just great
43,Because I had a bad experience with another bank and I moved to MY BANK I have not had any bad experiences with this bank Employees care for the customer; they do everything for the customers
44,Because I have always gotten exactly what I needed They are helpful as I have had several loans with them I now have online banking with them The people there know who I am and I know them I have not had any issues with them
45,Because I have had a bad experience at another bank and this one is the best banks that I have ever had They are really nice They always take care of everything I need to run my business For any questions I have they always help me and with anything I need They always help me with everything I really don't know what to say but they've always been really nice to me there
46,Because I have never had a problem ever They've always been helpful and good to me For some reason they always know my name It's like they all know me It's easy to get to and there's no waiting I can't remember the last time I had to wait They're always friendly and well-mannered It's just excellent If I win the lottery tomorrow I'll put it in there
47,Because I have no reason not to I've never had any negative of any kind They're personal
48,Because I haven't had any problems
49,Because I haven't had one problem since I've gone there If there is a problem they help me The people know me and are nice and welcoming I feel like they are the best
50,Because I know all the service the people that work there We're friends We've been with them since we came to town We even got our home loan with them That's just where we bank Because they feel like family The greeter they always know my name They call to see if there is anything I need If I call to transfer funds or anything I think it's just that we know each other I used to work in a bank And I just think it's vital to have connection with your customers
51,Because I like the tellers They are so friendly and make you feel so welcome They make you feel like a mother or a grandmother They are all young people working there They are interested in me as a person They want to know how I am doing how I am feeling and all of that They are very very personable
52,Because I like them a lot They call me by name I never have to wait
53,Because I love the people Because they are wonderful They know their business
54,Because I love their attention to detail I just opened an account and I was clueless about the online banking They are nothing but helpful at every branch that I have called I love the promptness It's a joy to go in there They are always smiling They just make you feel welcome
55,Because I never had any problems when I went there and everybody knows me They have respect and they always call you by name
56,Because I never had any trouble with them They're all nice they're very helpful and they're kind
57,Because I never have any problems when I go there I just never have any problems
58,Because I never have any problems with them and they take care of any problems I have They've been very good about taking care of our problems long distance I like their online banking website
59,Because I really like and enjoy MY BANK I bought my house through MY BANK They've answered all of my questions and they've been there for me When I walk into the building downtown they acknowledge me They know who I am I also like doing business with them
60,Because I was treated like a human being not like a number They were very interested on what we had to say and they had great recommendations on what we should do with our money It's not too far from where we live There's always someone available when we need to make a deposit or talk to somebody
61,Because I was with Huntington and I switched to MY BANK My friend was the one that took me there Polite kids room to watch TV snacks coffee machine and very courteous
62,Because if I have a question they always answer me and sometimes they go out of the way to help me Like a couple of years ago I went overseas and they were very helpful Whenever I ask something they always satisfy me
63,Because if I use the drive-up they know who I am They are timely when I am in line I am always satisfied When MY BANK first took over I had been with OTHER BANK for years I like it better than OTHER BANK They are always helpful and friendly I am very satisfied there
64,Because it's a good bank to work with you know? They have candy for me
65,Because it's absolutely the best It speaks for itself
66,Because it's my bank Everyone up front is really good If there is a problem they are right on it They look out for my well-being I like it All of the buildings look nice The atmosphere is nice They're prompt You get in and get out
67,Because it's still locally owned I've been with them for many years and they always have good service They're consistent
68,Because it's the best
69,Because it's the only place I go to Everybody at the bank knows everyone on a first name basis Just everything all around
70,Because it's very convenient for me it's close by No matter which teller I get they make me feel welcome
71,Because I've always felt comfortable and they've always done everything for me I have no problems with the bank at all I just really feel comfortable They are friendly almost family atmosphere
72,Because I've always had good service there The people are very nice They are good and they do the job correctly I just told you
73,Because I've been with them a long time I've made loans with them and I've never had any problems ever They're very friendly They seem very friendly They genuinely seem happy to see you when you walk in If they're not sincere they put on a good act
74,Because I've been with them since I was 14 and they've always been great with me one-on-one at the tellers and desk and you do great work with customers I think it's just me being a loyal customer because that's the only thing I've ever known
75,Because I've had absolutely zero issues or concerns about their honesty or sincerity in the way they conduct their business I trust them Every time I come in they are friendly They are smiling They greet me They take care of my banking thank me and do everything they can do for me
76,Because I've had bad experiences with the others and they just don't seem to care Here they seem to recognize me and know who I am One of the tellers knows I'm legally blind so when I walk in there she knows what I need what I want and she goes to it right away She knows what accounts I have and she asks me which one I want
77,Because I've had nothing but good experiences with them The people are friendly They're knowledgeable very helpful and very polite
78,Because I've had previous bad experiences with another bank and that was several years ago A friend recommended them and I have a home equity and checking I just like the service They've always treated me well My mother banks there she's a little elderly lady and they've always been helpful to her and that means a lot to me
79,Because I've had some problems with other banks I've been with MY BANK for many years I really don't know how to answer that
80,Because I've had such good service People are nice and I have no complaints They answer the questions when I call in and give me my balance when I call in
81,Because I've never had a problem with them or anything I think I was with Wells Fargo They did some shady [omitted] like not cashing my check until whenever so I had overdrafts with them I've never had that problem with MY BANK Every time you go in there there is somebody to help you right off There never seems to be a line It doesn't eat up a lot of your lunch hour I don't know I went through a divorce and I needed a lot of paperwork because I just paid my ex-wife directly I took money out of my account and put it directly into her account The State said I didn't pay her MY BANK gave me all of the paperwork to prove that I was paying her That saved me a lot in respect to the court battle and all that [omitted] I nipped that in the bud
82,Because I've never had a problem with them If I do like with my account I can call or go in there I have no issues Like I said we went through Fifth Third and it was awful
83,Because I've never had a problem with them They are friendly and courteous
84,Because I've never had a problem with them They've always been very courteous and very helpful I've always been satisfied They are a great bank
85,Because I've never had a question or problem they couldn't handle The way they treat people It feel's friendly
86,Because I've never had any problems with them Everything is fine
87,Because I've never had problems with them I've been there for years It is located right down the street at a very convenient place and Martin's is a good grocery store It's a double-bang for me It just fits all my needs
88,Because my wife and I had had some financial difficulties a few years ago and they made us feel human They worked with us to help us get back on our feet The branch manager and the person downtown who did the loan did not look down at us They went out of their way to help us secure that small loan It's not so much MY BANK as it is the people at the branch that I go to I've been going to that branch for 25 years before it was acquired by MY BANK and they know you by name When you go in there they are never too busy to talk to you
89,Because of all my answers It's treated me real well Location is good and their hours are excellent
90,Because of all the questions you asked me previously I could easily go to another bank but I won't I like the people and it's convenient
91,Because of everything: customer service and friendliness and I have never had any problem with them
92,Because of my parents probably We never have any problems
93,Because of the convenience of the accounts as a college student They insure I have the right kind of checking account Knowing there are not many ATM's on campus they allow me to waive three fees for the ATM's When I went in I a had a different type account but they switched me because of that
94,Because of the convenience they are open till 7:00 at night and on Sunday from 12:00 to 3:00 and Franklin and Bristol Street are nice too
95,Because of the customer service and the satisfaction I get when I go in there It doesn't seem like a very big organization so when you make a call you just talk to one person and get what you need to know
96,Because of the customer service In today's world it's a dying art I've been in business for a while and they give old-school customer service It's all about the customer They treat you like a person They are fast If you have a problem they get to the bottom of the problem I just like the way they work
97,Because of the dealings I have had with the top person at that location I have had two others before They know the answers and how to get into the computers to get the information I need They waste no time and are accurate I am old and they are patient If I don't understand something I want to see it in black and white
98,Because of the people there they are so friendly I have taken my account from another Bank and started a new account with this bank They provide a personal experience every time
99,Because of the people They seem to know their business well and are extremely helpful I enjoy going into the bank I have lived here four years and have done business with other banks in different states I find this bank on the top to do business with
100,Because of the personnel and the cleanliness and appearance of the building The personnel are very professional They know what they're doing They're very courteous and polite The people that work there and the appearance of the bank The overall attitude the personnel has towards the customers
101,Because of the quick service They are very friendly and helpful We use them for our business so we like them very much I used to work there
102,Because of the service I get I have been there since the 70's Sue helped and she is very good at her job
103,Because of the service and because I cannot compare to other banks so I am satisfied I use the service no problem I don't know why else I would rate the bank absolutely the best
104,Because of the service even when I lived in Michigan They try to work through everything with me and I can't say I've been anywhere better except my daughters bank
105,Because of the service I've never had one problem with the bank whatsoever They give very good service and they are quick about it
106,Because of the staff; they make you feel like you are welcome Quick service; you don't have to wait
107,Because of the way I'm treated there Courteous They've never caused me any grief
108,Because of their courteous kind and prompt service they give me when I walk in there Anytime I've ever had a question or a problem they have been able to answer my question 100% I know their answer is always right That's the most I can tell you right now
109,Because of their excellent customer service very convenient and clean I am a loyal customer They are very accurate they went well beyond the call of duty
110,Because of their friendliness and the recognition It's always clean and neat When we need money we don't have to wait for several days They advise you on what to do They greet you by name when you enter the bank
111,Because of their personal relationship with me They remember who I am how many kids I have in the car and being very personalized with their customers I like that they keep customer information proprietary and I appreciate the security they provide for us
112,"Because of their service their kindness and it is convenient for me They don't charge you for every little thing The bank I was with even if you breathed they would charge you They charged me for things that they shouldn't have I had to fuss with them and I thought ""Okay I've had enough of this"" Years ago my husband and I lived here and we moved away He was in construction and we banked with them when it used to be First Bank and now it's MY BANK We banked with them a long time until we moved away When I came back because he passed away I don't know why I stayed as long as I did with this other bank One day I had just had it They give very good service and like I said it is convenient for me too They don't have a lot of charges that this other bank had"
113,Because of their service they get right to it you know they don't mess around They're ready for you when you get there Their manner they're always happy positive good to you Being prompt greeting
114,Because of what you said prior to this They are efficient They call me by name They are familiar with what I need and want The only complaint I have is that they need a drive-thru Because I've been with them for so many years even before they were MY BANK
115,Because that is the only place at which I bank
116,Because that's what it is I've never had a problem with them To me they are the best
117,Because that's what they are fabulous
118,Because that's where I feel the most comfortable with my banking Because they know my name and they pretty much know what I need when I get there
119,Because the employees are very friendly and knowledgeable The trainees are exceptional I'm very happy with them I feel very welcome and special when they call me by my first name Excellent customer service
120,Because the level of customer service they know who we are I actually have another account at another bank and they joke around that they want the last account I'm impressed that they remember that I actually have my kids with MY BANK They go above and beyond for my business The atmosphere the way the step-up is open I feel like a person not just a number I'm actually impressed that they do their own customer surveys
121,Because the people who work there are very open I moved to this bank because I'm happy with the service They inform me when they have specials and if I want to add more to my assets I do The manager there; I hope he stays there forever I just admire him As I told you the service is good and they have options if I need anything They inform me when they have special rates They keep me informed and that is what I need That bank always informs me
122,Because the service that Brett McHoffer and Bonnie Hobbs provide
123,Because the services that they provide are everything that they can do They are a bank and I am happy with it
124,Because the way they treat you they greet you You don't have to have a big bank account they're just nice to everybody I just like I went in the other day I haven't been in the new bank They treat me like when I visited Walmart Some banks don't recognize their customers My son is going to open a bank account They gave him good answers What else can I say about them? Overall they're just a good bank to go to I've had a lot of banks over my 67 years and MY BANK is the first I can say I like
125,Because their customer service skills are the best I have banked at other banks before They don't give me the customer service that MY BANK gives me The second I walk into the branch they greet me There is no waiting I get in there I get what I need and I'm out in five minutes max
126,Because their tellers are very helpful and courteous It seems like I get a young lady named Carrie She's very sincere and courteous The girls over there are so nice and treat me so well I would never switch from MY BANK because of the customer service at Waynedale It's a little out of my way but I still wouldn't switch banks because of those girls They really deserve a pat on the back or an award I've been banking with them for a long time and I've never had a problem there Carrie treats me with some personal caring and consideration; they all are just caring I'm not wealthy but I think they would treat me the same as someone who is They take my banking seriously I wouldn't be surprised if I didn't get all excellent throughout the surveys
127,Because they always know you by name and always able to get what you need done in a timely fashion If one of the other tellers is new there is another more experienced teller willing to help so you can get out of there in good time
128,Because they are a lot better The way stuff is handled and treated is a lot better It is a lot more professional
129,Because they are always courteous to everyone I grew up in Kentucky and Indiana so I expect to be treated nicely You can ask them anything about the bank and if they don't know the answer they will get someone who can answer They greet you by name when you walk in and if you are waiting someone will come from the back counter to help you They make you feel like they want you at the bank and they treat you with absolute respect They call you by name they will help you and they are just very polite If they see you in the store they wave They are always so nice I know they have to deal with some very difficult people One of them a sibling of mine yells at them but they are so nice and kind to her I want to take her outside and whoop her for that She is very disrespectful yet they treat her like a little princess If you can treat someone who is as horrible as she is you are good!
130,Because they are always prompt and getting back to me Always helping me and I was working with Erica she was so very helpful and took the extra time to make sure that I understood the issue that I asked her about
131,Because they are always very nice and willing to help you when you go in They always answer your questions with no doubt at all
132,Because they are always very polite and personal Ask a question and they always answer even if it's a personal question Never had any problem very polite
133,Because they are courteous and helpful They help me any way they can Their behavior is wonderful whether I go in or go through the drive-thru
134,Because they are friendly and fast
135,Because they are friendly and nice
136,Because they are friendly They've been very quick and I don't have to wait They are very accurate The people are always kind
137,Because they are kind Because I'm old and they acknowledge me They know my dog's name This branch is my favorite but they're all good I have a cane and they suggested that I use an easier way to come in They suggested that to me I didn't know it was there  When I had my surgery I was not able to go to the bank I made arrangements to have all the business taken care of They went out of their way to help me
138,Because they are open on Sundays The people are very friendly I feel welcome there The convenience factor
139,Because they are so on top of stuff and very organized
140,Because they are very friendly They also are welcome to help you out if you have a question about something
141,Because they are very helpful They sorted out the situation for me Also they are friendly
142,Because they are
143,Because they are All of my answers indicate why
144,Because they are Because of the service we receive
145,Because they are Because they are the best The way they handle our account and the way we're treated when we're in there
146,Because they are I have dealt with them for a long time They held the door open for me when I left
147,Because they are I think they are anyways
148,Because they are The service is good the people are friendly and it's nice on the inside Their service is very good They say your name they're prompt about things and they are overly friendly
149,Because they come to me when I walk in the door They help me see the screen and what they type in on the screen Everything is very organized when I walk in Everyone is dressed appropriately
150,"Because they give me the proper attention they are respectful always a good morning and ""How are you today?"" Very friendly They have my best interest at heart I never have a bad feeling going in or even when I leave"
151,Because they go above and beyond what's required they're very very friendly I think they're a smaller branch and because they're smaller you know them better than a larger branch I used to live in South Bend and I went to all different branches because I was driving all over; I guess that's probably why I didn't get to know them as well They're very personable They ask if you want a cup of coffee if the water's cold And it doesn't happen often but I have trouble with walking and if there are a couple of people in line they will ask me if I need to sit
152,Because they greet me by name They treat me like a person not a number I don't like online banking or drive-thrus I deal with bankers in person I don't know how they do it; they greet me every time I come in the door I could not believe it the second trip there It's amazing A fantastic place I like the downtown branch as well Personally I don't believe in debit cards I guess I am just too old-fashioned There's just too much fraud going on I like to do my banking face-to-face I use checks I like the way that MY BANK operates and like doing my banking there very much They seem to be one of the most personable businesses that I do business with and are professional and friendly
153,Because they have always taken care of me
154,Because they have always treated me very good and they've always made good loans for me If I have any problems there is always someone there to solve it and if I have any questions someone is always there
155,Because they have always treated us very well They are friendly
156,Because they have good customer service They just make you feel very welcome They know your name when you walk in It's nice to get called out by name
157,Because they have great service and help me with my problems and banking needs I've never had a problem with them
158,Because they know me and I've been with them for years
159,Because they know me by name and they're comfortable Just by knowing my name being quick not asking a bunch of questions other than the one's they're supposed to It's just what I'm used to I guess
160,Because they know me personally I would like to see better interest rates
161,Because they know me personally They address me by name and they treat me like a real person They handle my loan transactions I've had no problems with them and I've been banking with them for five years now
162,Because they know their customers They check identification so they're thorough And they have always answered my questions very promptly and they're more than willing to help me out with anything I need to know
163,Because they know you by name when you walk in do anything to help you
164,Because they pay attention to you and they listen to you They get right to the point and you're out of there You never have a long wait
165,Because they provide excellent service to myself and my clients Because they are really courteous
166,Because they treat me like an actual customer instead of another number Because every time I walk in they know my first name
167,Because they treat me really well
168,Because they treat me with respect They know my name The people are outstanding They treat me with respect I don't know I go in there and they know my name and they already have my account set-up I just tell them what I need and they give it to me Everybody who works there is outstanding Every girl in there is cool; they have got it down! They are very helpful very respectful and very business-like
169,Because they treated me very well For me to be a new customer they did everything they needed and everything I wanted Because of their treatment they treated me very well
170,Because they were very nice and kind They were very pleasant to deal with They have nice young girls in there I had no problems whatsoever
171,Because they’re always polite they always take care of all of my questions and I never had any problems I've recommended them to several different businesses and my family members Because they’re very friendly and care about what you need They’re very helpful
172,Because they're always friendly I have had no problems with my account and no mess-ups It's just nice smooth business They're always friendly when I come in They take good care of me It's just a really good atmosphere
173,Because they're good people to go to They help you out I don't know it's a bank
174,Because they're personal with everyone very attentive and they treat their customers like their friend Because they're good with their customers
175,Because they're the best bank out there They're great They just have good service
176,Because they're very courteous at all times and at all branches that I go to for myself only They listen to their customers very well and they're very pleasant They're very caring when it comes to money matters and their greetings They're very honest and they always make you feel good to come back with anything if you need to come back It's with every branch That's for me I've heard other people say they're good too
177,Because they're very friendly prompt service when you go in and they greet you like they know you're there They greet you They open up at 7:00 am which is excellent
178,Because they're very personable and always willing to help me I have had great service from them I just have never had any problems
179,Because they've always been good as far as answering questions and as far as changing accounts The customer service is always good
180,Because they've always treated me with respect and it's also convenient
181,Because they've been a good bank and also they've always been there to help me
182,Because they've been my bank for years and years I know everyone there so they treat me like family
183,Because they've gone out of their way to treat me in the best way They offer every service I need
184,Because very fast and efficient and it's really good
185,Because we always get excellent service there and everyone is friendly that's why we recommend them We've banked at other banks and they are the best bank we've ever banked at
186,Because we have other accounts in other banks One account is with Chase Bank and they do not seem to care that we have banked with them for a long time So we plan on transferring all of our accounts over to MY BANK
187,Because we've never had a bit of trouble and they've kept up the service for years They give the best service
188,Because we've never had any problems with you We've always been able to call and any time we ask them anything they've always been able to answer our questions
189,Because when I first walk in they always make me feel welcome They are very nice The overall performance of the bank Just the way I am in and out if I am in a rush
190,Because when we go in there they know our name They are friendly neat clean and there are no long waits
191,Because when you come in there they call you by name I'm not a number They know who I am When they transact business they know what they're doing They're well trained Customer service is top They're always looking out to help you out The only place I know to get coffee I can use the internet when I go in there
192,Because I'm comfortable and I am friends with all the girls We just laugh and have a good time every time I go in I like to tease them I don't just think of them as tellers to me they are my friends I would feel very comfortable talking about anything with them and I have I think they know my whole family history!  Because I think at my age I'm not young I've been at other banks and was never comfortable We have been with MY BANK a long time I don't trust other banks I trust MY BANK
193,Because I've been at other banks and I feel like it is the best in the way that they treat you Everyone is very nice and courteous
194,Because I've never had any trouble whatsoever with them They've always done an excellent job They meet my needs and I don't need to pay for checking accounts I'm so very happy with them If my checking doesn't balance they're very patient with me and go through it with me They are always willing to help
195,Been with them for years Like the way they greet you and the music!
196,Been with them since '94 Friendly and accommodating Know my first name and no problems with them whatsoever They welcome me and often say my first name They meet all my banking needs
197,Best service overall experience with a bank period Know who I am Know my name My life experiences They ask how my day is Have a good weekend People Very personable Enjoy their job
198,Better in personal service They check in to see if I need anything
199,Closest thing I have to a family that's a business that I have to do business with I've felt comfortable staying at the bank for a long time Jamie that works at the counter makes me want to come back I never dread going in there Even if my account is out of whack they help me out with everything
200,Courteous; they greet you by name They apologize if you have to wait in line for a minute They take time to answer questions you have They have never made mistakes The people that work there I've checked around and decided to stay with MY BANK They follow through
201,Customer appearance I bank with them all the time Overall friendly I love them
202,Customer service is great They are always polite They know who I am They call me by my name It's just a really great atmosphere You guys got a checking account It's the paperless so you don't have to keep money in it Most banks charge you Customer service Kind of a bank that makes you feel at home A friendly atmosphere Good rapport My girlfriend told me to switch banks[COMMA and I finally did
203,Customer service was outstanding
204,Customer service friendliness and attention to detail There have been times when they have called about a problem we didn't know about A lot of times they come out from behind the counter and greet They are friendly nice people and they seem more like friends than just going to the bank They offer tea coffee and cookies I also like that you can make copies on the machine A lot of attention to detail and personal attention That is nice
205,Customer service
206,Customer service 100% customer service
207,Customer service The people that work there They acknowledge you when you come in They are very sincere Just all the questions you asked me If I need anything they have always addressed it and they go out of their way to help The hours they are open They are open seven days and the online banking is good and I have nothing bad to say
208,Customer service; the interaction and the feedback
209,Easy to get along with
210,Eric I found his service to be exceptional and we had a good discussion about my financial needs He was listening well and in the end I was satisfied with the results He was professional I wouldn't hesitate to see Eric again for any banking needs
211,Every clerk that I've dealt with has always been courteous respectful and polite She was very very knowledgeable They're always so friendly
212,Every employee at that branch well I've been there for five years now I know everybody We laugh we joke we cut up It's like everybody's family Well they just all have pretty good personalities I've stood in line while other customers are there and when you walk in they ask how you are They make a point to know It's not just one teller it's all the tellers even the branch manager He's an awesome guy They go the extra mile for you over there That's pretty much about it I haven't had any problems with my accounts If there is a problem they handle it very quickly I have a home equity line through MY BANK The manager took me through everything I have no problems whatsoever with my bank!
213,Every employee over there is above excellent Always willing to help and always friendly
214,Every time I deal with them Friendly Pleasant In and out service
215,Every time I go in there they are professional they smile are happy dress nicely and they know their business They explain things and are very helpful I think it is the finest bank staff in country!
216,Every time I go in there I get along with everybody pretty well They all know my name and I know theirs except the new girl It's nice to go in and be able to joke around with the people Usually it's fast and easy and they get everything taken care of
217,Every time I go in there I get excellent service I like that I walk in and they take care of me right away I don't have to wait They're kind and friendly I have no problems with anything when I'm there I'm really satisfied with their service and they've always done well since I started doing business with them
218,Every time I go in there they're very friendly and I can't think of anything bad about them
219,Every time I go in they say my name We have had five bank accounts from them and two car loans No issues They are very helpful Because of the personal service I can walk in and talk to the bank manager whenever I want I like the personal service Excellent car rates
220,Every time I go there everyone knows me by name know what they're doing and answer my questions
221,Every time I go there everything goes smoothly People treat me well and I never have any problems or issues I don't know it's just been a good bank to me since I've been there
222,Every time I go there they know my name as soon as I walk in Just their mannerisms and their professionalism Money-wise they always do what they say they are going to do They answer my questions
223,Every time I go it's uplifting and I have had no problems compared to other companies I feel good when I come out The manger is a sweet heart Bank of America's not as personable and not as caring as MY BANK They have always been that way Personable caring and treated me very nicely They greet me by name ask how day is going and if I say something they remember and ask me question They laugh they pay attention to what's going on with the individual and not a lot of places do that And I always like the way we were treated It's small good location and not that far from home Very happy for quite a while Can't say enough great there
224,Every time I have a question it is addressed with sincerity If they do not have an immediate answer they get it and reply back They are friendly and they work hard to help me with anything They are a good group because of everything they do for us
